frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,observability_soft_weighting_active,observability_geometry_quality,observability_measurement_weight_mean,observability_measurement_weight_min,transition_guard_active,transition_guard_triggered,transition_guard_cooldown_frames,transition_guard_measurement_weight,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1624181089.761859179,1624181089.861757040,6,5,0,0.013110309,0.027749694,0,1,0,0,0,-0.002335391,-0.004008861,-0.002967969,-0.000034227,-0.000057398,0.000270092,0.999999961,2338,1427,0.610350727,0.015459885,0.004058607,0.002975689,0.172126329,67.029052164,1287,0.951486439,185.694432181,351.920873042,686.947741399,0.151641382,0.144284718,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000001129,0.000002954,0.000008106,0.152423289,0.988296844,-0.006040578,0.000000002,0.000000006,0.000000014,-0.008866958,0.044231303,-0.998981966,0.000000000,0.172126329,0.000000000,0.000000000,0.000000000,67.029052164,0,1331,1291,40,0.569289991,0,0,0,0,0,0,1007,0,2793,1331,0,0,0,1007
2,1624181089.861856699,1624181089.961797476,7,6,0,0.013567526,0.027398445,0,1,0,0,0,-0.004750546,-0.009221106,-0.004544950,-0.000027836,-0.000013941,0.000150559,0.999999988,2356,1607,0.682088285,0.016107926,0.004730719,0.003853028,0.184302161,74.115962739,1358,0.960226205,182.136759640,324.497346059,797.353081022,0.139676802,0.134121325,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000001035,0.000002913,0.000005988,0.165649308,0.985909802,-0.023284513,0.000000001,0.000000004,0.000000011,-0.005514612,0.024264815,-0.999690356,0.000000000,0.178214245,0.020528556,0.005957124,0.000239069,70.572507452,0,975,943,32,0.413837012,0,0,0,0,0,0,1381,0,3068,2306,0,0,0,2388
3,1624181089.961854219,1624181090.061850786,7,7,0,0.013532809,0.025739126,0,1,0,0,0,-0.004223890,-0.010658074,-0.005385752,-0.000001337,-0.000027035,0.000084125,0.999999996,2371,1711,0.721636440,0.014487693,0.003991170,0.003097583,0.154409526,90.305786467,1431,0.962651515,174.454572528,321.717041680,881.382703477,0.126640794,0.121910952,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000816,0.000002352,0.000005522,0.184007674,0.982899153,-0.007101452,0.000000001,0.000000003,0.000000010,-0.007919129,0.026231945,-0.999624516,0.000000000,0.170279339,0.043373011,0.007703318,0.000371938,77.150267123,0,780,761,19,0.328975116,0,0,0,0,0,0,1591,0,3293,3086,0,0,0,3979
4,1624181090.161849499,1624181090.261902571,9,8,0,0.012999179,0.025504992,0,1,0,0,0,-0.002418404,-0.002663850,-0.004819587,-0.000037672,-0.000095008,0.000017361,0.999999995,2350,1730,0.736170213,0.014756368,0.004179966,0.003543075,0.163711525,90.096254424,1462,0.964343817,182.692143467,323.679969474,903.498547889,0.129580783,0.124960426,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000859,0.000002571,0.000005424,0.185451696,0.982637956,-0.005505908,0.000000001,0.000000003,0.000000011,-0.014196275,0.030737692,-0.999426666,0.000000000,0.168637385,0.041549093,0.015918422,0.000505459,80.386763948,0,684,663,21,0.291063830,0,0,0,0,0,0,1666,0,3471,3770,0,0,0,5645
5,1624181090.261847019,1624181090.361894131,10,9,0,0.012533416,0.026399256,0,1,0,0,0,-0.005582801,-0.006419239,-0.004687234,-0.000012575,-0.000039291,0.000149564,0.999999988,2334,1784,0.764353042,0.013677590,0.003662121,0.003059978,0.146663508,96.983715661,1503,0.966786704,171.269721490,333.029365323,948.781329604,0.117866650,0.113951911,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000683,0.000001983,0.000004261,0.161369143,0.986836162,-0.010695246,0.000000001,0.000000002,0.000000010,-0.007274245,0.009595215,-0.999927506,0.000000000,0.164242610,0.055817201,0.020831045,0.000769859,83.706154291,0,566,546,20,0.242502142,0,0,0,0,0,0,1768,0,3601,4336,0,0,0,7413
6,1624181090.361844540,1624181090.461852789,11,10,0,0.013834681,0.025872072,0,1,0,0,0,-0.008084902,-0.008822957,-0.004412395,-0.000009676,-0.000006511,0.000262280,0.999999966,2364,1818,0.769035533,0.013244968,0.003638026,0.003138973,0.133029749,105.958050161,1534,0.967492728,169.199615705,324.342631465,990.591597499,0.114005631,0.110299619,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000666,0.000001945,0.000004209,0.154191273,0.988001810,-0.008801951,0.000000001,0.000000002,0.000000010,-0.005453499,0.017311794,-0.999835267,0.000000000,0.159040466,0.066856521,0.024311550,0.000995291,87.414803603,0,568,556,12,0.240270728,0,0,0,0,0,0,1796,0,3740,4904,0,0,0,9209
7,1624181090.461842060,1624181090.561805964,12,11,0,0.012734671,0.025070167,0,1,0,0,0,-0.008827728,-0.007400560,-0.003875066,-0.000005284,-0.000020252,0.000079406,0.999999997,2358,1829,0.775657337,0.012233262,0.003102345,0.002662097,0.124991846,110.288864867,1578,0.965957739,164.959834116,323.555585905,1035.765891736,0.108221385,0.104537284,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000644,0.000001995,0.000004350,0.149604951,0.988657130,-0.013245261,0.000000001,0.000000002,0.000000011,-0.001993295,0.006294764,-0.999978201,0.000000000,0.154176378,0.086276216,0.026003804,0.001361040,90.682526640,0,467,455,12,0.198049194,0,0,0,0,0,0,1891,0,3880,5371,0,0,0,11100
8,1624181090.561839819,1624181090.661713123,13,12,0,0.013076821,0.026333323,0,1,0,0,0,-0.007675635,-0.010346013,-0.004234774,-0.000010970,-0.000029855,0.000142629,0.999999989,2381,1878,0.788744225,0.012321223,0.002931362,0.002540325,0.122358195,113.287250053,1581,0.967284027,163.682541251,317.360177740,1048.233327088,0.107032698,0.103531019,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000620,0.000001978,0.000004410,0.153009602,0.988136986,-0.013166568,0.000000001,0.000000002,0.000000011,-0.004937804,0.011706163,-0.999919289,0.000000000,0.150199105,0.094206921,0.029186946,0.001487486,93.508117067,0,408,400,8,0.171356573,0,0,0,0,0,0,1973,0,3989,5779,0,0,0,13073
9,1624181090.661837339,1624181090.761733294,14,13,0,0.012989325,0.025725314,0,1,0,0,0,-0.009907336,-0.014268674,-0.004360243,-0.000004168,-0.000040372,0.000177268,0.999999983,2377,1886,0.793437106,0.012747778,0.002834210,0.002546196,0.120525876,111.670439819,1583,0.967808568,161.589319613,319.650393566,1050.801249612,0.105473237,0.102077902,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000607,0.000001926,0.000004281,0.132462714,0.991116542,-0.011900850,0.000000001,0.000000002,0.000000009,-0.002628880,0.011650541,-0.999928674,0.000000000,0.146902079,0.094348124,0.033701756,0.001556765,95.526152928,0,427,418,9,0.179638199,0,0,0,0,0,0,1950,0,4091,6206,0,0,0,15023
10,1624181090.761834860,1624181090.861717939,15,14,0,0.013352977,0.024980185,0,1,0,0,0,-0.010766248,-0.015261943,-0.004198054,0.000010223,-0.000024526,0.000111219,0.999999993,2365,1884,0.796617336,0.011814109,0.002834907,0.002491095,0.115751046,114.155775472,1602,0.966757567,157.755299645,317.451175706,1073.539147744,0.101860046,0.098473970,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000000606,0.000001938,0.000004316,0.134925427,0.990802307,-0.010291654,0.000000001,0.000000002,0.000000010,-0.006861938,0.011784747,-0.999907012,0.000000000,0.143786976,0.101653669,0.035024865,0.001688864,97.389115183,0,362,354,8,0.153065539,0,0,0,0,0,0,2003,0,4176,6568,0,0,0,17026
