frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,localizability_reference_ready,localizability_f0_reference,localizability_lambda0_reference,localizability_f0_ratio,localizability_lambda0_ratio,directional_degenerate,sparse_degenerate,match_quality_degenerate,transition_guard_triggered,transition_guard_turn_residual_triggered,transition_guard_map_active,transition_guard_map_hold_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,window_localizability_f0_ratio_mean,window_localizability_lambda0_ratio_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected,normal_quality_filter
1,1706585245.583046913,1706585245.682872295,23,22,0.012140934,0.021355129,1,0,1,1,0,-0.156545911,0.057633357,0.017914517,-0.003358085,0.001179922,-0.000349474,0.999993604,1036,763,0.736486486,0.029091711,0.013691419,0.009434311,0.014356357,120.189732306,719,0.948587258,14.960375739,266.593012400,400.480850577,0.021934934,0.020807199,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000010092,0.000018711,0.000149693,0.960270384,-0.277655735,-0.028072815,0.000000000,0.000000048,0.000001377,0.972015413,-0.234224509,0.018025449,1.000000000,0.014356357,0.000000000,0.000000000,0.000000000,120.189732306,1,0.021934934,0.020807199,1.000000000,1.000000000,331,310,21,0.319498069,72,159,83,43,0,391,314,1196,331,231,83,391,1
2,1706585245.682884693,1706585245.782716513,24,23,0.012188451,0.016473000,1,0,1,1,0,-0.084719267,0.031207235,0.000760971,-0.000082179,0.000314415,-0.000199060,0.999999927,1049,789,0.752144900,0.025133291,0.012502912,0.008255323,0.015887990,113.218367260,749,0.954182726,12.980879253,273.670602099,428.031380760,0.018163132,0.017330947,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000009530,0.000016354,0.000129298,0.957799212,-0.284349482,-0.042024311,0.000000000,0.000000000,0.000001337,0.972311343,-0.223327769,0.068813951,1.000000000,0.015122174,0.072999914,0.078432460,0.000308699,116.704049783,2,0.020049033,0.019069073,1.000000000,1.000000000,272,264,8,0.259294566,79,151,64,21,0,483,294,1261,603,461,147,874,1
3,1706585245.782728672,1706585245.882569075,25,24,0.011709188,0.018796437,1,0,1,1,0,-0.058407606,0.021468404,0.010812867,-0.000352305,0.001477153,-0.000155844,0.999998835,1051,777,0.739295909,0.028151445,0.011833282,0.007946479,0.016129425,118.645731786,756,0.951688219,16.292442441,268.863870270,434.319980604,0.022644863,0.021550850,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000007984,0.000014264,0.000108390,0.960722752,-0.277232063,-0.012416831,0.000000032,0.000000095,0.000001395,0.974282286,-0.225103615,0.010118754,1.000000000,0.015457924,0.061495874,0.108234960,0.000394139,117.351277117,3,0.020914310,0.019896332,1.000000000,1.000000000,228,225,3,0.216936251,71,178,55,24,0,517,306,1317,831,710,202,1391,1
4,1706585245.882580280,1706585245.982406616,26,25,0.014694714,0.023139877,1,0,1,1,0,-0.003255103,-0.000611422,0.007613889,0.000172615,0.000442011,0.000108335,0.999999882,1044,775,0.742337165,0.028524304,0.012774173,0.009491365,0.017041194,113.388944616,766,0.954168578,13.749206502,278.960130458,438.183793519,0.018811514,0.017949356,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000006788,0.000011867,0.000087402,0.958233076,-0.285145844,-0.021936712,0.000000029,0.000000081,0.000001272,0.974869395,-0.222751356,0.003390702,1.000000000,0.015853742,0.055308100,0.167729084,0.000923693,116.360693992,4,0.020388611,0.019409588,1.000000000,1.000000000,216,211,5,0.206896552,67,182,52,19,0,525,303,1359,1047,959,254,1916,1
5,1706585245.982418537,1706585246.082262039,27,26,0.012803715,0.018663021,1,0,1,1,0,0.025929722,-0.006425822,0.003043710,-0.001916331,0.000597722,-0.000186567,0.999997968,1080,824,0.762962963,0.025914871,0.011062040,0.008217248,0.017883972,121.006541412,783,0.959694019,15.513209619,283.301228757,452.625978393,0.020644630,0.019812528,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000005449,0.000009172,0.000070905,0.961287867,-0.275289044,-0.011898732,0.000000021,0.000000050,0.000001176,0.973264267,-0.229432964,0.010825075,1.000000000,0.016259788,0.056680690,0.197836355,0.001515939,117.289863476,5,0.020439815,0.019490176,1.000000000,1.000000000,185,180,5,0.171296296,71,167,49,11,0,608,287,1402,1232,1197,303,2524,1
6,1706585246.083072662,1706585246.182045460,28,27,0.013835272,0.026922044,1,0,1,1,0,0.020208617,-0.012341851,0.001126266,-0.000998188,0.000379385,0.000160476,0.999999417,1059,815,0.769593957,0.027712724,0.012458359,0.008860421,0.009144680,168.607225445,786,0.956529918,14.358182861,289.043031204,448.431301812,0.019097582,0.018267408,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004944,0.000008318,0.000084072,0.962071544,-0.272664652,-0.008504813,0.000000020,0.000000051,0.000001212,0.975664194,-0.219093387,0.008801600,1.000000000,0.015073936,0.051850364,0.206286624,0.002211557,125.842757137,6,0.020216109,0.019286381,1.000000000,1.000000000,156,152,4,0.147308782,79,153,43,9,0,626,277,1436,1388,1429,346,3150,1
7,1706585246.182919264,1706585246.282747746,29,28,0.010778113,0.014967964,1,0,1,1,0,-0.015949088,-0.002459297,-0.000860764,-0.002749967,0.000335295,0.000278371,0.999996124,1037,803,0.774349084,0.026932780,0.011556289,0.008901500,0.013002523,138.924539025,780,0.953037331,19.476781286,273.713848181,450.178488453,0.026200687,0.024970232,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000005205,0.000007771,0.000075899,0.962690266,-0.270393671,-0.010710537,0.000000022,0.000000047,0.000001144,0.975333258,-0.220579285,0.008355561,1.000000000,0.014778020,0.048530893,0.243823177,0.002446258,127.711583121,7,0.021071049,0.020098360,1.000000000,1.000000000,148,146,2,0.142719383,71,161,43,6,0,614,275,1466,1536,1661,389,3764,1
8,1706585246.282759666,1706585246.382569551,30,29,0.011971626,0.018697056,1,0,1,1,0,-0.042728205,0.011661035,0.003604130,-0.001059788,0.000703142,-0.000048411,0.999999190,1093,852,0.779505947,0.026462216,0.012478883,0.008841170,0.019198458,119.049281261,828,0.956568858,16.983530115,295.055129460,480.000354868,0.021442795,0.020511510,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004990,0.000007525,0.000055412,0.961178740,-0.275802987,-0.008254824,0.000000019,0.000000047,0.000001118,0.979735526,-0.200188439,0.006548898,1.000000000,0.015330575,0.046843212,0.274424486,0.003099465,126.628795389,8,0.021117517,0.020150004,1.000000000,1.000000000,180,174,6,0.164684355,77,153,40,14,0,643,270,1503,1716,1891,429,4407,1
9,1706585246.382580280,1706585246.482398510,31,30,0.011636136,0.018998617,1,0,1,1,0,-0.069781738,0.021124546,-0.000012201,-0.001049097,0.000301089,-0.000024740,0.999999404,1075,818,0.760930233,0.025139607,0.010823818,0.007814412,0.014238371,134.371114347,819,0.951771090,15.843876116,298.936924858,464.719722086,0.020325677,0.019345392,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000005199,0.000008035,0.000055561,0.963200407,-0.268782074,-0.001082523,0.000000022,0.000000058,0.000001167,0.979021951,-0.203655952,0.006346019,1.000000000,0.015209219,0.050812994,0.303312711,0.003147665,127.489053051,9,0.021029535,0.020060602,1.000000000,1.000000000,150,146,4,0.139534884,84,173,29,6,0,637,288,1542,1866,2148,458,5044,1
10,1706585246.482410192,1706585246.581285477,32,31,0.012439336,0.017161179,1,0,1,1,0,-0.113722974,0.042714065,-0.005094330,-0.000851142,-0.000152915,-0.000089064,0.999999622,1041,825,0.792507205,0.026549710,0.012277544,0.008471033,0.016367677,141.249881619,768,0.961672390,14.727630624,282.516921742,441.319843173,0.019940889,0.019176602,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004411,0.000007768,0.000052695,0.961422464,-0.275066947,0.002240390,0.000000014,0.000000055,0.000001060,0.981100387,-0.193469136,0.003424197,1.000000000,0.015325065,0.048554544,0.352534328,0.003275421,128.865135908,10,0.020920670,0.019972202,1.000000000,1.000000000,127,125,2,0.121998079,64,128,34,11,0,684,230,1581,1993,2340,492,5728,1
