frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,transition_guard_triggered,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1624181089.761859179,1624181089.861757040,5,4,0,0.013110309,0.027749694,1,0,0,0,0,-0.002335391,-0.004008861,-0.002967969,-0.000034227,-0.000057398,0.000270092,0.999999961,2338,1427,0.610350727,0.015459885,0.004058607,0.002975689,0.172126329,67.029052164,1287,0.951486439,185.694432181,351.920873042,686.947741399,0.151641382,0.144284718,0,0,0.005596917,0.000573926,0.100000000,0.030000000,1.000000000,0.015459885,0.000001129,0.000002954,0.000008106,0.152423289,0.988296844,-0.006040578,0.000000002,0.000000006,0.000000014,-0.008866958,0.044231303,-0.998981966,0.000000000,0.172126329,0.000000000,0.000000000,0.000000000,67.029052164,0,0.151641382,0.144284718,1226,1188,38,0.524379812,104,0,0,0,0,0,1007,105,2766,1226,104,0,0,1007
2,1624181089.861856699,1624181089.961797476,5,5,0,0.011659390,0.022355472,1,0,0,0,0,-0.006664457,-0.010071061,-0.004062166,-0.000023978,-0.000022273,0.000231230,0.999999973,2356,1607,0.682088285,0.016231375,0.004570335,0.003832052,0.187769932,73.269261871,1358,0.961012832,184.390282187,330.971439035,789.693704715,0.141289235,0.135780767,0,0,0.007566705,0.000160156,0.100000000,0.030000000,0.931732705,0.016231375,0.000001043,0.000002848,0.000005828,0.141613220,0.989796201,-0.015785292,0.000000001,0.000000004,0.000000010,-0.005395344,0.024847470,-0.999676694,0.000000000,0.179948131,0.024343936,0.007529166,0.000077727,70.149157017,0,0.146465308,0.140032743,882,850,32,0.374363328,125,0,0,0,0,0,1348,126,3020,2108,229,0,0,2355
3,1624181090.061851978,1624181090.161860704,7,6,0,0.012419486,0.025739126,1,0,0,0,0,-0.001729174,-0.011795170,-0.005147236,-0.000021453,-0.000054239,0.000105645,0.999999993,2363,1708,0.722809987,0.015790873,0.004364291,0.003492514,0.177596312,82.889242372,1439,0.961893428,184.097726936,334.460986218,865.605930324,0.133002767,0.127934487,0,0,0.017051299,0.000248822,0.100000000,0.030000000,0.908083752,0.015790873,0.000000945,0.000002471,0.000005461,0.140050870,0.990139912,0.002950946,0.000000001,0.000000003,0.000000009,-0.000291815,0.006836054,-0.999976591,0.000000000,0.179164191,0.019966382,0.012868357,0.000328894,74.395852135,0,0.141977794,0.135999991,797,783,14,0.337283115,103,0,0,0,0,0,1463,103,3233,2905,332,0,0,3818
4,1624181090.161849499,1624181090.261902571,8,7,0,0.011337099,0.024096279,1,0,0,0,0,-0.003447443,-0.011571093,-0.004125068,-0.000010072,-0.000060740,0.000276082,0.999999960,2355,1760,0.747346072,0.016244435,0.003941437,0.003375493,0.162768884,88.114213612,1465,0.966423956,179.802302314,327.414913412,908.593880101,0.126995969,0.122731947,0,0,0.004187980,0.000309289,0.100000000,0.030000000,0.898836841,0.016244435,0.000000727,0.000001945,0.000004098,0.134403475,0.990904773,0.006590626,0.000000001,0.000000003,0.000000008,-0.000540076,-0.013200672,0.999912721,0.000000000,0.175065364,0.020581123,0.014880194,0.000669767,77.825442505,0,0.138232338,0.132682980,627,611,16,0.266242038,104,0,0,0,0,0,1624,104,3393,3532,436,0,0,5442
5,1624181090.261847019,1624181090.361894131,9,8,0,0.011213120,0.025452967,1,0,0,0,0,-0.005239320,-0.010928252,-0.003745105,-0.000020637,-0.000037023,0.000225585,0.999999974,2336,1808,0.773972603,0.015755636,0.003396495,0.003009557,0.155899212,93.717120491,1480,0.968206728,171.693266627,331.634514569,929.618175612,0.119818382,0.116008964,0,0,0.002167457,0.000058156,0.100000000,0.030000000,0.873655680,0.015755636,0.000000704,0.000001879,0.000003884,-0.120497531,-0.992713492,0.000517910,0.000000001,0.000000002,0.000000008,-0.002259297,-0.002009855,-0.999995428,0.000000000,0.171232134,0.018973214,0.016821440,0.000770762,81.003778102,0,0.134549547,0.129348177,506,487,19,0.216609589,95,0,0,0,0,0,1734,96,3514,4038,531,0,0,7176
6,1624181090.361844540,1624181090.461852789,10,9,0,0.012977170,0.025872072,1,0,0,0,0,-0.006119709,-0.012710540,-0.003835019,-0.000001017,-0.000005640,0.000348177,0.999999939,2363,1839,0.778247990,0.015303476,0.003487498,0.003087665,0.152223280,97.494107554,1513,0.968133195,169.467913898,331.400651858,963.916957618,0.115694695,0.112007874,0,0,0.002012228,0.000204250,0.100000000,0.030000000,0.869866828,0.015303476,0.000000697,0.000001850,0.000003840,-0.115924646,-0.993251016,0.003727558,0.000000001,0.000000002,0.000000008,-0.003099263,0.007609236,-0.999966246,0.000000000,0.168063991,0.022347903,0.018811345,0.001015945,83.752166344,0,0.131407071,0.126458126,525,513,12,0.222175201,91,0,0,0,0,0,1746,92,3632,4563,622,0,0,8922
7,1624181090.461842060,1624181090.561805964,11,10,0,0.010821014,0.025070167,1,0,0,0,0,-0.007769873,-0.013694229,-0.003140138,-0.000003330,-0.000015569,0.000138038,0.999999990,2357,1866,0.791684345,0.015479631,0.003237743,0.002844373,0.140881069,102.751479561,1555,0.968174155,166.628465836,337.230327035,1001.652018007,0.110679023,0.107156570,0,0,0.000818101,0.000420717,0.100000000,0.030000000,0.851381241,0.015479631,0.000000676,0.000001870,0.000003995,-0.113944382,-0.993475036,0.004902125,0.000000001,0.000000002,0.000000009,-0.003827621,0.004610300,-0.999982047,0.000000000,0.164180717,0.021919214,0.020854270,0.001436223,86.466353946,0,0.128445922,0.123700761,442,432,10,0.187526517,92,0,0,0,0,0,1822,93,3746,5005,714,0,0,10744
8,1624181090.561839819,1624181090.661713123,12,11,0,0.012409013,0.026333323,1,0,0,0,0,-0.006333308,-0.015106187,-0.003427818,-0.000003421,-0.000049347,0.000193614,0.999999980,2380,1893,0.795378151,0.014203785,0.002973547,0.002644862,0.143483414,103.378360692,1573,0.968572385,165.071159489,332.243208412,1026.249994169,0.108345380,0.104940343,0,0,0.003095701,0.000135791,0.100000000,0.030000000,0.853140304,0.014203785,0.000000664,0.000001873,0.000003970,-0.119099032,-0.992856955,0.007105507,0.000000001,0.000000002,0.000000009,-0.007948075,0.016279838,-0.999835884,0.000000000,0.161593554,0.038912779,0.022888995,0.001547375,88.580354790,0,0.125933354,0.121355709,375,367,8,0.157563025,78,0,0,0,0,0,1926,79,3845,5380,792,0,0,12670
9,1624181090.661837339,1624181090.761733294,13,12,0,0.011118437,0.022962517,1,0,0,0,0,-0.006683295,-0.020410746,-0.003117546,0.000018956,-0.000049080,0.000324693,0.999999946,2377,1910,0.803533866,0.015227027,0.003282743,0.002803158,0.139418829,103.854024017,1566,0.970369965,165.373163604,327.153817761,1027.072384309,0.108826818,0.105602276,0,0,0.004287075,0.000254934,0.100000000,0.030000000,0.881851621,0.015227027,0.000000655,0.000001810,0.000003906,-0.103005704,-0.994646566,0.008248293,0.000000001,0.000000002,0.000000008,-0.003003045,0.005672463,-0.999979402,0.000000000,0.159129696,0.037382301,0.028214133,0.001809531,90.277429148,0,0.124032628,0.119605327,414,406,8,0.174169121,83,0,0,0,0,0,1878,85,3933,5794,875,0,0,14548
10,1624181090.761834860,1624181090.861717939,14,13,0,0.012389818,0.024980185,1,0,0,0,0,-0.007745499,-0.021620161,-0.003144595,0.000026510,-0.000040248,0.000143060,0.999999989,2366,1924,0.813186813,0.015182767,0.003286101,0.002918732,0.138305439,103.697433713,1587,0.971022252,163.483286460,336.074774978,1041.454252084,0.106088241,0.103014043,0,0,0.002203794,0.000365147,0.100000000,0.030000000,0.885408727,0.015182767,0.000000655,0.000001781,0.000003847,-0.090050855,-0.995913558,0.006857746,0.000000001,0.000000002,0.000000008,-0.008249173,0.018031716,-0.999803385,0.000000000,0.157047270,0.036143176,0.029824007,0.002172797,91.619429605,0,0.122238189,0.117946199,328,320,8,0.138630600,77,0,0,0,0,0,1960,78,4012,6122,952,0,0,16508
11,1624181090.861832380,1624181090.961721897,15,14,0,0.012136170,0.024093260,1,0,0,0,0,-0.009275300,-0.020569105,-0.003495529,-0.000007696,-0.000015517,0.000318851,0.999999949,2351,1914,0.814121650,0.014420309,0.002870296,0.002564526,0.128082753,109.359079486,1591,0.972418616,158.271019435,330.634407059,1058.212591789,0.102300547,0.099478956,0,0,0.003543279,0.000372672,0.100000000,0.030000000,0.868746213,0.014420309,0.000000654,0.000001812,0.000004016,-0.093590129,-0.995590075,0.006425752,0.000000001,0.000000002,0.000000009,-0.007994848,0.008228777,-0.999934183,0.000000000,0.154414132,0.040002972,0.031712965,0.002524382,93.232125048,0,0.120425676,0.116267359,348,337,11,0.148022118,72,0,0,0,0,0,1931,72,4096,6470,1024,0,0,18439
12,1624181090.961829901,1624181091.061767101,16,15,0,0.012129980,0.024178199,1,0,0,0,0,-0.009067736,-0.019366791,-0.004382427,-0.000010561,-0.000039568,0.000253220,0.999999967,2347,1894,0.806987644,0.014736174,0.002908655,0.002472614,0.131859151,108.309832854,1574,0.972196112,157.727530475,331.344916169,1041.164233495,0.103073944,0.100208088,0,0,0.002527433,0.000180209,0.100000000,0.030000000,0.890913319,0.014736174,0.000000641,0.000001823,0.000004040,-0.109415244,-0.993991313,0.003094207,0.000000001,0.000000002,0.000000009,-0.011750592,0.017793705,-0.999772628,0.000000000,0.152534550,0.040206153,0.033221352,0.002655644,94.488600699,0,0.118979699,0.114929086,282,274,8,0.120153387,84,0,0,0,0,0,1980,85,4171,6752,1108,0,0,20419
