stamp,iteration,input_hash,prior_hash,state_hash,query_hash,neighbor_hash,effective,converge,rebuild_started_before,rebuild_finished_before,rebuild_started_after,rebuild_finished_after
1706585985.0724289,1,14198017566086623048,1314898065002443197,10085300543982695000,4890774901328327054,8910621982661480359,431,1,9,9,9,9
1706585985.0724289,2,14198017566086623048,1314898065002443197,10376298538628369789,17271389920276576635,8910621982661480359,431,0,9,9,9,9
1706585985.0724289,3,14198017566086623048,1314898065002443197,16875553991375035912,5185018426658995265,8910621982661480359,431,0,9,9,9,9
1706585985.0724289,4,14198017566086623048,1314898065002443197,14895377655874334579,17551607930923260358,8196962895721800917,430,1,9,9,9,9
1706585985.173063,1,15732587189578256557,12762824305078209604,8689840108661651434,13235077894728982883,16503176226673221311,413,1,9,9,9,9
1706585985.173063,2,15732587189578256557,12762824305078209604,13704701258298133821,9130150218213945417,16503176226673221311,413,0,9,9,9,9
1706585985.173063,3,15732587189578256557,12762824305078209604,893741391405472223,401945780211243960,16503176226673221311,413,0,9,9,9,9
1706585985.173063,4,15732587189578256557,12762824305078209604,4128326343933050100,16630628679769567873,8719932371720351443,420,1,9,9,9,9
1706585985.2728925,1,15158292608950215046,14146295573507872244,4577398791098802612,3205372459128721912,9341742231023332384,400,1,9,9,9,9
1706585985.2728925,2,15158292608950215046,14146295573507872244,5832082378305171019,380834223227339140,9341742231023332384,400,0,9,9,9,9
1706585985.2728925,3,15158292608950215046,14146295573507872244,17719868169058814179,15868409757791307181,9341742231023332384,400,0,9,9,9,9
1706585985.2728925,4,15158292608950215046,14146295573507872244,17562888539537117634,3019980822496775600,6459462213256552928,397,1,9,9,9,9
1706585985.3727226,1,9276856566294141752,12377269819103278436,12857286607797544833,9887505406971498300,3260914293257904864,422,1,9,9,9,9
1706585985.3727226,2,9276856566294141752,12377269819103278436,17621708249351452353,17464797748247024094,3260914293257904864,422,0,9,9,9,9
1706585985.3727226,3,9276856566294141752,12377269819103278436,8482661854808304991,8582686115121678938,3260914293257904864,422,0,9,9,9,9
1706585985.3727226,4,9276856566294141752,12377269819103278436,3935325605791714054,11590022500553096602,7032681952139222005,430,1,9,9,9,9
1706585985.4725571,1,2805678930538780757,14403168777545532187,10945148593249028281,2675953909591799639,17070847013725375632,442,1,9,9,9,9
1706585985.4725571,2,2805678930538780757,14403168777545532187,7442376372273500200,12733916956323927736,17070847013725375632,442,0,9,9,9,9
1706585985.4725571,3,2805678930538780757,14403168777545532187,8344625719775119341,12616052819672006610,17070847013725375632,442,0,9,9,9,9
1706585985.4725571,4,2805678930538780757,14403168777545532187,6791244466243041064,2829160012185933939,15332844932394079861,443,1,9,9,9,9
1706585985.5723844,1,14400826713796687036,2104539016931679148,8032737857211016196,454365875932699294,15654596159683677737,424,1,9,9,9,9
1706585985.5723844,2,14400826713796687036,2104539016931679148,6025603840432080675,8988929358733439936,15654596159683677737,424,0,9,9,9,9
1706585985.5723844,3,14400826713796687036,2104539016931679148,4228772179056758515,1851607131166358977,15654596159683677737,424,0,9,9,9,9
1706585985.5723844,4,14400826713796687036,2104539016931679148,3282577866038188337,1613882633912068137,2987438455889560684,425,1,9,9,9,9
1706585985.6730175,1,2360941548170586567,5750819987161680760,8842140625198660624,9774467185731373172,5920553478284469222,411,1,9,9,9,9
1706585985.6730175,2,2360941548170586567,5750819987161680760,16449520383584229914,3216973981154156074,5920553478284469222,411,0,9,9,9,9
1706585985.6730175,3,2360941548170586567,5750819987161680760,15417858533071181111,14344769192893115129,5920553478284469222,411,0,9,9,9,9
1706585985.6730175,4,2360941548170586567,5750819987161680760,4110610728615986392,8192189074943502684,4232526579823663926,409,1,9,9,9,9
1706585985.7728591,1,15979915626629988225,10030332243079229685,17084934724887169829,4054872475493179307,17399742341242291940,416,1,9,9,9,9
1706585985.7728591,2,15979915626629988225,10030332243079229685,16504230015010875893,11822361463602743741,17399742341242291940,416,0,9,9,9,9
1706585985.7728591,3,15979915626629988225,10030332243079229685,6430521768884204442,925270158471211381,17399742341242291940,416,0,9,9,9,9
1706585985.7728591,4,15979915626629988225,10030332243079229685,17952015099852495728,2978271486294528868,3716798160023093768,419,1,9,9,9,9
1706585985.8727105,1,8401012393052231042,4747176546818164517,2989210102626233089,4955168522874478320,5293787657478852640,435,1,9,9,9,9
1706585985.8727105,2,8401012393052231042,4747176546818164517,8362644592535770812,3948367632580781033,5293787657478852640,435,0,9,9,9,9
1706585985.8727105,3,8401012393052231042,4747176546818164517,18219747825839400146,2049709135153399008,5293787657478852640,435,0,9,9,9,9
1706585985.8727105,4,8401012393052231042,4747176546818164517,1723974152476045935,14952027559584622180,10925076874798472119,442,1,9,9,9,9
1706585985.9725475,1,17340161190048172775,2209823017065627746,7961195123902564880,8619680729367558927,655800839741046716,449,1,9,9,9,9
1706585985.9725475,2,17340161190048172775,2209823017065627746,8754283317288543483,13641688566681649164,655800839741046716,449,0,9,9,9,9
1706585985.9725475,3,17340161190048172775,2209823017065627746,11329000433904027263,17643503818145830383,655800839741046716,449,0,9,9,9,9
1706585985.9725475,4,17340161190048172775,2209823017065627746,5843353388577989426,9961740953002901854,18044397398454737195,447,1,9,9,9,9
1706585986.0723882,1,5889556143176751284,5423055872869394808,11604960139047276287,3571122783348501474,11498279076743468743,477,1,9,9,9,9
1706585986.0723882,2,5889556143176751284,5423055872869394808,10504707859173766565,16928609600783765021,11498279076743468743,477,0,9,9,9,9
1706585986.0723882,3,5889556143176751284,5423055872869394808,7788899242809899843,12526578606439942852,11498279076743468743,477,0,9,9,9,9
1706585986.0723882,4,5889556143176751284,5423055872869394808,5343189226346534983,10067784467622427987,5562188452934700814,475,1,9,9,9,9
1706585986.173032,1,8752554047731453017,2573487400063171505,1181462542932362463,1288523638919202627,15380005308079735063,498,1,9,9,9,9
1706585986.173032,2,8752554047731453017,2573487400063171505,7711521284298866307,7974081458017011146,15380005308079735063,498,0,9,9,9,9
1706585986.173032,3,8752554047731453017,2573487400063171505,12782008218385410812,15006285780111357876,15380005308079735063,498,0,9,9,9,9
1706585986.173032,4,8752554047731453017,2573487400063171505,5569467458040530547,1944643432268006055,10281388952477879026,499,1,9,9,9,9
1706585986.272881,1,10469713790675289604,12806096022423808396,9480506526214058588,10098984031256710476,8399402521111839840,521,1,9,9,9,9
1706585986.272881,2,10469713790675289604,12806096022423808396,2053683842454810753,8478015313198672904,8399402521111839840,521,0,9,9,9,9
1706585986.272881,3,10469713790675289604,12806096022423808396,1096698724608862803,6819545006244743663,8399402521111839840,521,0,9,9,9,9
1706585986.272881,4,10469713790675289604,12806096022423808396,2104936299788422714,17274789010483562691,1727050987203640086,522,1,9,9,9,9
1706585986.3727155,1,11044946373078067902,2085444479945379006,17543257845108352,16091478510772914461,10459572725355115964,541,1,9,9,9,9
1706585986.3727155,2,11044946373078067902,2085444479945379006,6151722553894037688,11684008389724029215,10459572725355115964,541,0,9,9,9,9
1706585986.3727155,3,11044946373078067902,2085444479945379006,8430131984144103572,18131245740030619640,10459572725355115964,541,0,9,9,9,9
1706585986.3727155,4,11044946373078067902,2085444479945379006,12394318943239057185,978757652442995966,6387597959997247650,540,1,9,9,9,9
1706585986.4725642,1,6005264526569180632,6466621383484302609,5979768392092228741,173350668813272353,6773321444203382793,615,1,9,9,9,9
1706585986.4725642,2,6005264526569180632,6466621383484302609,15515755047253238412,5652749908537062523,6773321444203382793,615,0,9,9,9,9
1706585986.4725642,3,6005264526569180632,6466621383484302609,16730847954113694082,7694753676197669045,6773321444203382793,615,0,9,9,9,9
1706585986.4725642,4,6005264526569180632,6466621383484302609,2056098099217245671,17585934348716211726,11070442516755500503,617,1,9,9,9,9
1706585986.5724096,1,9549704858670012044,11498731820242755635,16428569541920209078,2219916944202541743,3381923940310782656,641,1,9,9,9,9
1706585986.5724096,2,9549704858670012044,11498731820242755635,6996473344558937634,14246188489654749342,3381923940310782656,641,0,9,9,9,9
1706585986.5724096,3,9549704858670012044,11498731820242755635,17104805795069664387,16846173643925395,3381923940310782656,641,0,9,9,9,9
1706585986.5724096,4,9549704858670012044,11498731820242755635,11778876180161119954,17574020669520774495,4725065199233405816,636,1,9,9,9,9
1706585986.6730499,1,15730472439805781496,10203911363858478066,1451082231883401412,10281385134196052143,18378971043677339689,720,1,9,9,9,9
1706585986.6730499,2,15730472439805781496,10203911363858478066,11036181671438306178,11847356215926686597,18378971043677339689,720,0,9,9,9,9
1706585986.6730499,3,15730472439805781496,10203911363858478066,10547824785820599558,7271507932984751166,18378971043677339689,720,0,9,9,9,9
1706585986.6730499,4,15730472439805781496,10203911363858478066,2813670819957072712,18183628809670272708,210032559791077261,722,1,9,9,9,9
1706585986.7728837,1,7571403524221939903,16652664914007155085,14685076395820492740,12345915473519234500,14414196418857910969,723,1,9,9,9,9
1706585986.7728837,2,7571403524221939903,16652664914007155085,17099526346852539797,356925205161379333,14414196418857910969,723,0,9,9,9,9
1706585986.7728837,3,7571403524221939903,16652664914007155085,3144800684550455026,17365982767533143730,14414196418857910969,723,0,9,9,9,9
1706585986.7728837,4,7571403524221939903,16652664914007155085,1023189782068489597,10994333978765096210,8113989049221103308,723,1,9,9,9,9
1706585986.8727355,1,12120441310112680073,11170873063200422970,6449047469903988258,1209224403087862567,13133908531484433210,720,1,9,9,9,9
1706585986.8727355,2,12120441310112680073,11170873063200422970,8435630574051197122,5579105283447753665,13133908531484433210,720,0,9,9,9,9
1706585986.8727355,3,12120441310112680073,11170873063200422970,8021495387468058470,12656367362632230485,13133908531484433210,720,0,9,9,9,9
1706585986.8727355,4,12120441310112680073,11170873063200422970,18392025050267763438,11181185000651718998,9649587261237228211,730,1,9,9,9,9
1706585986.9725575,1,17060861806685860483,6371530470804707600,10903979171866639870,17558301435801941105,4572126495509845563,755,1,9,9,9,9
1706585986.9725575,2,17060861806685860483,6371530470804707600,10952887605000085117,14710509279378828807,4572126495509845563,755,0,9,9,9,9
1706585986.9725575,3,17060861806685860483,6371530470804707600,13263148843298245883,2778780686388335803,4572126495509845563,755,0,9,9,9,9
1706585986.9725575,4,17060861806685860483,6371530470804707600,7861022966872688591,16529636829496827357,14921266802138566069,754,1,9,9,9,9
1706585987.0724034,1,9479378872745250120,15741491700355826576,5173017788380731531,9572397977911539250,17822497136009671835,729,1,9,9,9,9
1706585987.0724034,2,9479378872745250120,15741491700355826576,3794214566528107985,4942136734360432223,17822497136009671835,729,0,9,9,9,9
1706585987.0724034,3,9479378872745250120,15741491700355826576,17258103344623868745,12714020655059995105,17822497136009671835,729,0,9,9,9,9
1706585987.0724034,4,9479378872745250120,15741491700355826576,9874783334768335533,9814347949362321891,6058164093110914795,729,1,9,9,9,9
1706585987.1730368,1,17244790602068294539,14700364318490439598,143333831117443076,10231970193493508267,1323585339217451714,805,1,9,9,9,9
1706585987.1730368,2,17244790602068294539,14700364318490439598,15341410888636377071,1972438422294190368,1323585339217451714,805,0,9,9,9,9
1706585987.1730368,3,17244790602068294539,14700364318490439598,14981443943259266636,16920954445838430991,1323585339217451714,805,0,9,9,9,9
1706585987.1730368,4,17244790602068294539,14700364318490439598,2512560718509520221,7921574962786702181,13909530411967998071,802,1,9,9,9,9
1706585987.2728865,1,11473741015123838693,16988372874799017206,7426411277910754924,8064860615072197906,1064308336472060798,788,1,9,9,9,9
1706585987.2728865,2,11473741015123838693,16988372874799017206,2705961641486267107,1798959589405446291,1064308336472060798,788,0,9,9,9,9
1706585987.2728865,3,11473741015123838693,16988372874799017206,10159068263624778909,8094766806803445742,1064308336472060798,788,0,9,9,9,9
1706585987.2728865,4,11473741015123838693,16988372874799017206,12016982311333545266,10800838750589407862,12527936029939993093,791,1,9,9,9,9
1706585987.3727291,1,17310755804587410937,10432788299764894259,4626050619352648821,15697967734799734632,6126959739714013455,793,1,9,9,9,9
1706585987.3727291,2,17310755804587410937,10432788299764894259,16104939533913939436,5736877471151511518,6126959739714013455,793,0,9,9,9,9
1706585987.3727291,3,17310755804587410937,10432788299764894259,15175339383631618689,10546391887280424562,6126959739714013455,793,0,9,9,9,9
1706585987.3727291,4,17310755804587410937,10432788299764894259,1402936342317494520,17176125607303222390,7343967908791471352,794,1,9,9,9,9
1706585987.4725764,1,18175173220294800817,1722752777556300211,7962332505692071883,9951866012948695379,7750855836259072606,805,1,9,9,9,9
1706585987.4725764,2,18175173220294800817,1722752777556300211,1682322528577843818,475881281336668906,7750855836259072606,805,0,9,9,9,9
1706585987.4725764,3,18175173220294800817,1722752777556300211,10689865187390233876,3651386954540148741,7750855836259072606,805,0,9,9,9,9
1706585987.4725764,4,18175173220294800817,1722752777556300211,14344397544768940914,6821935484087264797,8243924221740141814,810,1,9,9,9,9
1706585987.5724127,1,13730473350828949568,15476747125775467265,8888822862702474153,16265341911391915625,17391481532958397221,785,1,9,9,9,9
1706585987.5724127,2,13730473350828949568,15476747125775467265,16041578107200298436,15135225259883285373,17391481532958397221,785,0,9,9,9,9
1706585987.5724127,3,13730473350828949568,15476747125775467265,15723815316879956124,13115554913760138578,17391481532958397221,785,0,9,9,9,9
1706585987.5724127,4,13730473350828949568,15476747125775467265,3424428313206249228,4528434546306705144,8054867436564683474,776,1,9,9,9,9
1706585987.6730561,1,7494787832659511056,3839132879450405894,9802524324931154833,1353701911523868434,10912446681490452421,764,1,9,9,9,9
1706585987.6730561,2,7494787832659511056,3839132879450405894,6672800481942346948,7723222973053702771,10912446681490452421,764,0,9,9,9,9
1706585987.6730561,3,7494787832659511056,3839132879450405894,6837632259688274083,11116244871542680627,10912446681490452421,764,0,9,9,9,9
1706585987.6730561,4,7494787832659511056,3839132879450405894,17808213399106823331,5019352863078612829,12369964896263050845,760,1,9,9,9,9
