run,start_s,frames,common_gt_samples,prefix_error_median,residual_median,transient_frames,novel_accepted,novel_rejected,map_added,invalid_quality_rejected,map_size_last
control/run01,0,100,92,0.22066714704434326,0.009351367499999999,0,0,0,23681,0,8782
control/run01,10,99,90,0.22060006706212976,0.008796112,0,0,0,16130,0,13927
control/run01,20,98,86,0.18540298529839316,0.165833184,60,3000,26672,75730,76800,57204
control/run01,30,98,82,0.3552761023412133,0.08680497200000001,19,786,823,85184,20201,101649
control/run01,40,98,79,0.10541983622022283,0.0704747085,0,0,0,70978,0,128910
control/run01,50,97,75,0.09658058393899796,0.070072433,1,39,0,53667,758,147914
control/run01,60,99,78,0.44436491614573326,0.067289585,1,11,0,45769,952,164325
control/run01,70,98,79,0.3436804935619995,0.06546468899999999,1,50,405,56711,1196,188522
control/run01,80,85,70,0.3418151108359802,0.08569199,14,498,1527,41613,13751,206850
control/run01,90,92,68,0.21906406299842113,0.06857650700000001,3,130,55,29238,2725,216649
control/run01,100,97,60,0.41150618819515383,0.063667197,0,0,0,25987,0,224375
control/run01,110,93,54,0.36211955701003673,0.066404458,0,0,0,31998,0,236005
control/run01,120,92,49,0.38164364558982716,0.07676049,1,50,19,42763,973,253336
control/run01,130,86,56,0.7392385656639047,0.07481349600000001,0,0,0,30223,0,262583
control/run01,140,95,64,0.25095255133906536,0.067002694,0,0,0,22927,0,268738
control/run01,150,95,60,0.31144412364718677,0.070543233,5,44,0,26291,3264,276266
control/run01,160,96,62,0.260551983259698,0.074091395,4,52,0,27384,2207,286232
control/run01,170,93,73,0.4756865091270987,0.06470711,2,50,0,26763,1434,294509
control/run01,180,88,65,0.5469208068042088,0.07411000749999999,4,200,332,23627,2185,303657
control/run01,190,78,46,0.5164516375503163,0.071121031,3,36,0,18462,1477,309870
control/run01,200,82,56,0.4603324376109728,0.072653585,4,73,0,25454,2331,319321
control/run01,210,83,38,0.14799923912269275,0.091032918,14,199,25,15690,6505,324612
control/run01,220,83,16,0.24780596345028072,0.099278877,16,460,313,16456,12051,329618
control/run01,230,82,58,0.12475243273360787,0.068783436,0,0,0,16325,0,333898
control/run01,240,90,38,0.2765563979391763,0.092542055,20,523,204,47387,24467,352739
control/run01,250,89,0,,0.076580513,27,1043,1952,46454,49623,367194
control/run01,260,91,0,,0.074128532,8,144,0,48490,12620,381253
control/run01,270,89,0,,0.095183676,25,899,2252,40591,38637,396564
control/run01,280,93,0,,0.065961887,3,120,339,38015,3425,409182
control/run01,290,91,0,,0.063768371,0,0,0,23679,0,416088
control/run01,300,92,47,0.15128557514363813,0.0624408405,0,0,0,18473,0,420528
control/run01,310,93,72,0.15218494163581253,0.061630326,0,0,0,19772,0,425280
control/run01,320,92,58,0.3423109131201417,0.0864333175,7,220,46,36270,6535,438165
control/run01,330,95,65,0.3629643311097848,0.075954432,3,25,0,30509,3737,447210
control/run01,340,94,64,0.1672641835970317,0.06473772550000001,12,209,17,21417,17589,452819
control/run01,350,90,27,0.19764123093985345,0.0679896015,28,1119,4008,20184,56063,458809
control/run01,360,85,0,,0.068029191,19,602,504,23608,34415,464096
control/run01,370,70,4,0.09079691298665107,0.1802698055,37,1468,4978,13204,72181,468712
control/run01,380,88,35,0.12367618947795302,0.054029107,0,0,0,18901,0,472122
control/run01,390,93,44,0.1170052999991755,0.056527108,1,5,0,8987,628,474289
control/run01,400,88,56,0.11726083577820842,0.052872558,0,0,0,3364,0,474966
control/run01,410,70,41,0.1176607571499002,0.0518778865,0,0,0,2243,0,475351
control/run02,0,99,92,0.19265819058014716,0.009393321,0,0,0,23882,0,8779
control/run02,10,100,90,0.19211317542369408,0.008852021,0,0,0,16387,0,13949
control/run02,20,93,86,0.17700777219102012,0.16447529,57,2850,24553,72488,71437,55986
control/run02,30,96,82,0.33689461513892727,0.0851838075,17,810,1562,85462,20637,100988
control/run02,40,94,79,0.10557341477607247,0.072004656,0,0,0,68890,0,127451
control/run02,50,99,75,0.08639465962205964,0.070147338,0,0,0,54908,0,146630
control/run02,60,99,78,0.4473519494439324,0.067510412,0,0,0,45411,0,162889
control/run02,70,95,79,0.3627840932464701,0.064489624,0,0,0,57530,0,188880
control/run02,80,97,70,0.32555813475759376,0.083728929,16,517,2339,45091,14682,207940
control/run02,90,94,68,0.23439351275789888,0.0689576895,3,114,0,29380,2474,217912
control/run02,100,97,60,0.4272898178701251,0.064297962,0,0,0,25866,0,225686
control/run02,110,82,54,0.3555242416641995,0.0658186375,0,0,0,29585,0,236551
control/run02,120,81,49,0.39978428810887223,0.076378408,0,0,0,40917,0,253392
control/run02,130,83,56,0.9749076718946704,0.074239938,0,0,0,30895,0,263211
control/run02,140,92,64,0.21094106417094077,0.066439024,0,0,0,23407,0,269678
control/run02,150,90,60,0.30592896248373536,0.0690215445,4,23,0,26447,2788,277291
control/run02,160,94,62,0.27376211809970885,0.0745364265,3,40,0,27431,1645,287403
control/run02,170,94,73,0.4883173674596586,0.065053848,0,0,0,28269,0,295693
control/run02,180,85,65,0.5190528417378012,0.074398341,5,233,450,23217,2972,304646
control/run02,190,82,46,0.433770247925667,0.072185424,4,94,0,19224,2301,311417
control/run02,200,90,56,0.4430650216142884,0.0730513815,2,18,0,27307,1053,321328
control/run02,210,86,38,0.2068898581501014,0.0891171075,13,174,108,16110,5734,326756
control/run02,220,95,16,0.26504755649824496,0.088031705,17,431,101,17401,11746,331915
control/run02,230,93,58,0.1436972984420876,0.067786386,0,0,0,18286,0,336691
control/run02,240,93,38,0.2427797685632296,0.091619691,17,449,176,48875,22776,355938
control/run02,250,94,0,,0.153022408,47,1509,1872,41307,95429,369627
control/run02,260,93,0,,0.09563344,29,862,175,91976,60669,413328
