time,current_id,candidate_id,scan_context_distance,icp_fitness,threshold,trans_error,yaw_error,degenerate_pair,accepted,target_points,source_points,reason,directional_noise_applied,directional_translation_scale,weak_tx,weak_ty,weak_tz
1517157236.233263254,41,8,0.107983428,1.490168477,0.300000000,nan,nan,0,0,2938,1094,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157236.636703253,43,8,0.153675464,1.764517554,0.300000000,nan,nan,0,0,2938,1071,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157237.443522215,47,16,0.173741222,1.638602387,0.300000000,nan,nan,0,0,2536,1082,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157237.645242214,48,16,0.158018290,0.682295301,0.300000000,nan,nan,0,0,2536,1059,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157237.846962214,49,7,0.157214538,0.257865439,0.300000000,0.054204917,0.001562875,0,1,2854,1084,accepted,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157238.048622370,50,18,0.149197736,nan,nan,nan,nan,0,0,0,1067,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157238.452062368,52,18,0.142656156,nan,nan,nan,nan,0,0,0,1092,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157238.653782368,53,18,0.113064030,nan,nan,nan,nan,0,0,0,1083,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157239.258881330,56,9,0.143193747,nan,nan,nan,nan,0,0,0,1093,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157239.460601330,57,26,0.118461989,nan,nan,nan,nan,0,0,0,1073,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157239.662321329,58,26,0.121078109,nan,nan,nan,nan,0,0,0,1048,current_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157239.864041328,59,26,0.156925158,nan,nan,nan,nan,0,0,0,1054,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157240.469139338,62,19,0.135504793,nan,nan,nan,nan,0,0,0,1124,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157240.670859337,63,16,0.160626076,nan,nan,nan,nan,0,0,0,1164,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157240.872579336,64,26,0.089624939,nan,nan,nan,nan,0,0,0,1116,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157241.074238300,65,26,0.094618125,nan,nan,nan,nan,0,0,0,1108,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157241.275958300,66,26,0.162220104,nan,nan,nan,nan,0,0,0,1129,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157242.486236334,72,26,0.065692400,nan,nan,nan,nan,0,0,0,1108,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157242.687956333,73,26,0.090756111,nan,nan,nan,nan,0,0,0,1095,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157242.889676332,74,41,0.133553228,0.994659342,0.300000000,nan,nan,0,0,3144,1089,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157243.091324329,75,27,0.157476481,nan,nan,nan,nan,0,0,0,1092,loop_pair_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157243.293044329,76,26,0.149962078,nan,nan,nan,nan,0,0,0,1148,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157243.696484327,78,46,0.114586755,0.405744761,0.300000000,nan,nan,0,0,2888,1139,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157244.503295183,82,41,0.168240071,0.848245615,0.300000000,nan,nan,0,0,3144,1109,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157245.108395338,85,25,0.114678827,nan,nan,nan,nan,0,0,0,1128,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157245.310115337,86,25,0.120195887,nan,nan,nan,nan,0,0,0,1124,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157245.511835337,87,26,0.079184620,nan,nan,nan,nan,0,0,0,1089,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157245.713555574,88,26,0.096224002,nan,nan,nan,nan,0,0,0,1076,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157246.722094297,93,26,0.114905647,nan,nan,nan,nan,0,0,0,1063,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157246.923814297,94,26,0.077147166,nan,nan,nan,nan,0,0,0,1045,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157247.125473261,95,26,0.091004490,nan,nan,nan,nan,0,0,0,1028,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157247.327193260,96,51,0.082510821,0.702880769,0.300000000,nan,nan,0,0,2231,1056,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157247.528913260,97,26,0.122158814,nan,nan,nan,nan,0,0,0,1051,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157247.730633259,98,26,0.123900660,nan,nan,nan,nan,0,0,0,1046,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157247.932353258,99,64,0.157668952,1.417208547,0.300000000,nan,nan,0,0,2651,1087,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157248.134011507,100,57,0.145934251,2.109869874,0.300000000,nan,nan,0,0,2303,1082,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157248.335732222,101,64,0.151877776,1.363273681,0.300000000,nan,nan,0,0,2651,1071,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157248.537452221,102,56,0.084238722,3.144304144,0.300000000,nan,nan,0,0,2373,1039,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157248.739171982,103,53,0.059800994,4.036358168,0.300000000,nan,nan,0,0,2297,1042,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157248.940892220,104,57,0.109047255,3.954136390,0.300000000,nan,nan,0,0,2303,1055,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157249.142550230,105,72,0.086613941,1.882572621,0.300000000,nan,nan,0,0,2758,1015,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157249.344270229,106,56,0.075082626,1.691907725,0.300000000,nan,nan,0,0,2373,1036,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157249.545990229,107,58,0.117289729,2.974372136,0.300000000,nan,nan,0,0,2376,1071,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157249.949430227,109,46,0.147263522,6.795239871,0.300000000,nan,nan,0,0,2888,1148,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157250.151095390,110,57,0.125673533,3.588795961,0.300000000,nan,nan,0,0,2303,1154,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157250.453676224,111,76,0.045482232,0.398938334,0.300000000,nan,nan,0,0,2744,1138,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157250.655395985,112,73,0.134847663,0.531806606,0.300000000,nan,nan,0,0,2720,1138,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157250.857116222,113,62,0.108522119,1.601398403,0.300000000,nan,nan,0,0,2649,1051,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157251.159628391,114,26,0.031972122,nan,nan,nan,nan,0,0,0,1117,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157251.361348391,115,76,0.061797325,0.405886510,0.300000000,nan,nan,0,0,2744,1158,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157251.563068390,116,76,0.084278807,3.135095059,0.300000000,nan,nan,0,0,2744,1140,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157251.764788389,117,25,0.078641719,nan,nan,nan,nan,0,0,0,1073,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157251.966508389,118,52,0.076827665,1.728210155,0.300000000,nan,nan,0,0,2276,1087,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157252.168167353,119,54,0.069111305,1.608598630,0.300000000,nan,nan,0,0,2257,1075,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157252.369888306,120,59,0.102966503,1.200309416,0.300000000,nan,nan,0,0,2395,1061,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157252.571608305,121,57,0.089013132,1.896458533,0.300000000,nan,nan,0,0,2303,1061,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157252.874188185,122,57,0.066301047,1.496042396,0.300000000,nan,nan,0,0,2303,1062,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157253.075847387,123,57,0.061426118,1.518773180,0.300000000,nan,nan,0,0,2303,1034,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157253.277567387,124,57,0.073283704,5.626838716,0.300000000,nan,nan,0,0,2303,1030,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157253.479287386,125,56,0.102156584,1.333706268,0.300000000,nan,nan,0,0,2373,1016,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157253.681007385,126,59,0.167382154,1.299965359,0.300000000,nan,nan,0,0,2395,1036,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157253.882727385,127,64,0.150034510,0.730545729,0.300000000,nan,nan,0,0,2651,1072,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157254.185245275,128,65,0.050353800,0.760160703,0.300000000,nan,nan,0,0,2637,1045,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157254.689546347,130,88,0.074054838,0.504713855,0.300000000,nan,nan,0,0,2521,1008,fitness_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
1517157254.891266346,131,26,0.158265763,nan,nan,nan,nan,0,0,0,1116,candidate_cooldown_reject,0,1.000000000,0.000000000,0.000000000,0.000000000
