relative_s,lidar_begin_time,lidar_end_time,downsampled_points,effective_points,residual_mean,degeneracy_mode,map_added,total_rejected,unclassified_range_reject,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_rejected
0.0,1706584908.442463,1706584908.5422764,1311.0,899.0,0.029220247,0.0,870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10064840316772461,1706584908.5430872,1706584908.6429248,1280.0,906.0,0.023436864,0.0,639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20049214363098145,1706584908.6429367,1706584908.7427685,1333.0,967.0,0.02250679,0.0,565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3003239631652832,1706584908.742781,1706584908.8426003,1321.0,997.0,0.023791041,0.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.40015745162963867,1706584908.8426116,1706584908.9424338,1328.0,985.0,0.022632512,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4999971389770508,1706584908.9424462,1706584909.0422735,1317.0,970.0,0.021261443,0.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6006472110748291,1706584909.0430825,1706584909.1429236,1312.0,991.0,0.023028216,0.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7004873752593994,1706584909.1429358,1706584909.2427638,1335.0,980.0,0.018905368,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8003320693969727,1706584909.2427747,1706584909.3426085,1314.0,970.0,0.024080903,0.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8996949195861816,1706584909.3426201,1706584909.4419713,1335.0,986.0,0.021847684,0.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0000107288360596,1706584909.442457,1706584909.542287,1323.0,976.0,0.021670247,0.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1006438732147217,1706584909.5430965,1706584909.6429203,1339.0,1007.0,0.022482178,0.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2004728317260742,1706584909.642931,1706584909.7427492,1315.0,993.0,0.02168119,0.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3003013134002686,1706584909.742761,1706584909.8425777,1320.0,996.0,0.02210342,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4001240730285645,1706584909.84259,1706584909.9424005,1317.0,982.0,0.021215744,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4999475479125977,1706584909.942412,1706584910.042224,1342.0,976.0,0.020449095,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6005914211273193,1706584910.043035,1706584910.1428678,1329.0,977.0,0.021524549,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7004420757293701,1706584910.1428792,1706584910.2427185,1313.0,942.0,0.020577483,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8002829551696777,1706584910.2427301,1706584910.3425593,1289.0,920.0,0.020704498,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9001173973083496,1706584910.342571,1706584910.4423938,1316.0,957.0,0.019269272,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9999651908874512,1706584910.4424047,1706584910.5422416,1315.0,941.0,0.022041503,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1006016731262207,1706584910.543052,1706584910.642878,1298.0,935.0,0.019642048,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2004518508911133,1706584910.6428905,1706584910.7427282,1337.0,959.0,0.020004683,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3002915382385254,1706584910.7427397,1706584910.842568,1321.0,978.0,0.020498315,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.40012788772583,1706584910.84258,1706584910.9424043,1319.0,948.0,0.020240261,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.499967098236084,1706584910.942416,1706584911.0422435,1305.0,957.0,0.019906231,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6005947589874268,1706584911.0430543,1706584911.1428711,1339.0,993.0,0.020625706,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.700425624847412,1706584911.1428835,1706584911.242702,1323.0,972.0,0.020406266,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8002777099609375,1706584911.2427137,1706584911.342554,1395.0,1017.0,0.022150547,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.900132179260254,1706584911.3425653,1706584911.4424086,1308.0,942.0,0.019664758,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9999730587005615,1706584911.4424202,1706584911.5422494,1294.0,910.0,0.021041749,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1006085872650146,1706584911.5430586,1706584911.642885,1318.0,948.0,0.0206323,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2004435062408447,1706584911.6428967,1706584911.74272,1292.0,914.0,0.021232268,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3002865314483643,1706584911.742731,1706584911.842563,1303.0,934.0,0.020415398,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.400129795074463,1706584911.8425748,1706584911.9424062,1322.0,937.0,0.020739302,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4999654293060303,1706584911.9424179,1706584912.0422418,1302.0,953.0,0.020287825,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.600625991821289,1706584912.0430532,1706584912.1429024,1334.0,954.0,0.019208932,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7004764080047607,1706584912.142915,1706584912.2427528,1331.0,982.0,0.02080817,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8003087043762207,1706584912.2427654,1706584912.342585,1324.0,948.0,0.020264818,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.900139570236206,1706584912.3425968,1706584912.442416,1320.0,937.0,0.019936509,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9999821186065674,1706584912.4424288,1706584912.5422585,1349.0,978.0,0.02135907,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.100615739822388,1706584912.5430691,1706584912.6428921,1306.0,957.0,0.020883582,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.200449466705322,1706584912.6429033,1706584912.7427258,1299.0,933.0,0.023248069,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.300271511077881,1706584912.7427382,1706584912.842548,1308.0,946.0,0.01960646,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.400115728378296,1706584912.8425603,1706584912.942392,1297.0,890.0,0.019682393,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.499958753585815,1706584912.942403,1706584913.0422351,1300.0,930.0,0.020235948,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.600607395172119,1706584913.0430439,1706584913.1428838,1336.0,927.0,0.020521109,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.700451135635376,1706584913.1428955,1706584913.2427275,1291.0,943.0,0.0209107,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.800295114517212,1706584913.2427402,1706584913.3425715,1323.0,929.0,0.01867384,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
