frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,transition_guard_active,transition_guard_triggered,transition_guard_retry_performed,transition_guard_conservative_selected,transition_guard_measurement_noise_scale,transition_guard_cooldown_frames_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation,lidar_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,transition_guard_conservative_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1,1624181089.861856699,1624181089.961797476,6,5,0,0.013344779,0.027749694,1,0,0,0,0,-0.002786660,-0.001168093,-0.003603079,-0.000031187,-0.000024839,0.000088971,0.999999995,2356,1432,0.607809847,0.015478429,0.003852300,0.002829363,0.176735156,65.182793698,1290,0.950212593,184.076373998,352.002543672,689.695327894,0.150171514,0.142694864,0,0,0,0,1.000000000,0,0,0.004879407,0.000200742,0.004879407,0.000200742,0.100000000,0.030000000,1.000000000,0.015478429,0.000000000,0.000001121,0.000002955,0.000007984,0.162349678,0.986711832,-0.006507114,0.000000002,0.000000007,0.000000014,-0.006586877,0.057133780,-0.998344802,0.000000000,0.176735156,0.000000000,0.000000000,0.000000000,65.182793698,0,0.150171514,0.142694864,1185,1140,45,0.502971138,107,0,0,0,0,0,1063,108,2748,1185,107,0,0,1063
2,1624181089.961854219,1624181090.061850786,7,6,0,0.013532809,0.025739126,1,0,0,0,0,0.000165497,-0.002796356,-0.003345044,-0.000005278,-0.000047296,0.000002284,0.999999999,2372,1607,0.677487352,0.016052382,0.004360968,0.003563921,0.176337729,75.053153177,1354,0.956879063,186.377169283,331.900955017,777.336126666,0.143852361,0.137649313,0,0,0,0,1.000000000,0,0,0.003541037,0.000149928,0.003541037,0.000149928,0.100000000,0.030000000,0.957920431,0.016052382,0.000000000,0.000001015,0.000002868,0.000006248,0.149932392,0.988688129,-0.004007593,0.000000001,0.000000004,0.000000010,-0.007011485,0.044386111,-0.998989846,0.000000000,0.176536443,0.018202925,0.003381280,0.000173376,70.117973438,0,0.147011938,0.140172088,946,920,26,0.398819562,127,0,0,0,0,0,1299,127,3015,2131,234,0,0,2362
3,1624181090.061851978,1624181090.161860704,7,7,0,0.012950497,0.025239474,1,0,0,0,0,0.003606290,-0.001752024,-0.003443304,-0.000011723,-0.000037182,-0.000026203,0.999999999,2363,1679,0.710537452,0.015176641,0.004110164,0.003558811,0.172730770,84.031353365,1426,0.960649957,185.409817160,338.161473466,846.315547861,0.135346813,0.130020910,0,0,0,0,1.000000000,0,0,0.002693731,0.000101325,0.002693731,0.000101325,0.100000000,0.030000000,0.920651852,0.015176641,0.000000000,0.000000833,0.000002425,0.000005205,0.174184853,0.984696602,-0.005677925,0.000000001,0.000000003,0.000000010,-0.008803171,0.011462560,-0.999895551,0.000000000,0.175267885,0.023330057,0.006978409,0.000230348,74.755766747,0,0.143123563,0.136788362,807,796,11,0.341515023,115,0,0,0,0,0,1441,115,3226,2938,349,0,0,3803
4,1624181090.261847019,1624181090.361894131,9,8,0,0.012807138,0.026399256,1,0,0,0,0,-0.000897370,-0.001162632,-0.004177792,-0.000027835,-0.000019317,0.000035132,0.999999999,2335,1742,0.746038544,0.015390125,0.003487032,0.002933764,0.151798238,92.479418339,1468,0.964607495,179.562708632,337.718715695,898.762377778,0.126805900,0.122317921,0,0,0,0,1.000000000,0,0,0.011223459,0.000169588,0.011223459,0.000169588,0.100000000,0.030000000,0.881500302,0.015390125,0.000000000,0.000000845,0.000002460,0.000005449,-0.111310527,-0.993782358,0.002567389,0.000000001,0.000000003,0.000000009,0.000285183,-0.006545881,0.999978535,0.000000000,0.169400473,0.020868885,0.011579475,0.000353017,79.186679645,0,0.139044147,0.133170752,614,598,16,0.262955032,112,0,0,0,0,0,1608,113,3373,3552,461,0,0,5411
5,1624181090.361844540,1624181090.461852789,10,9,0,0.013834681,0.025872072,1,0,0,0,0,-0.004563340,0.000471797,-0.004436435,-0.000007785,0.000008978,0.000202490,0.999999979,2365,1800,0.761099366,0.015607885,0.003797453,0.003227315,0.153041940,96.496997386,1504,0.965666908,176.233638123,337.070398380,939.058992839,0.121342691,0.117176621,0,0,0,0,1.000000000,0,0,0.002387049,0.000290080,0.002387049,0.000290080,0.100000000,0.030000000,0.869219556,0.015607885,0.000000000,0.000000690,0.000001915,0.000004092,-0.100499663,-0.994934194,-0.002401525,0.000000001,0.000000002,0.000000009,-0.004334585,0.012928482,-0.999907029,0.000000000,0.166128767,0.018769065,0.015601612,0.000687732,82.648743193,0,0.135503856,0.129971926,598,585,13,0.252854123,106,0,0,0,0,0,1660,107,3516,4150,567,0,0,7071
6,1624181090.461842060,1624181090.561805964,11,10,0,0.012734671,0.025070167,1,0,0,0,0,-0.006012193,0.000506480,-0.003750508,-0.000009776,-0.000037324,0.000079112,0.999999996,2357,1820,0.772168010,0.015337864,0.003547603,0.003062818,0.152431395,99.206578812,1536,0.965353237,180.506789657,337.589674373,964.686108642,0.121735171,0.117517441,0,0,0,0,1.000000000,0,0,0.002188983,0.000283365,0.002188983,0.000283365,0.100000000,0.030000000,0.899431383,0.015337864,0.000000000,0.000000678,0.000001874,0.000003819,-0.100850578,-0.994901514,-0.000371281,0.000000001,0.000000002,0.000000009,-0.004460754,0.022222614,-0.999743096,0.000000000,0.163845871,0.017852255,0.017205007,0.000934487,85.408382463,0,0.133209075,0.127896178,453,440,13,0.192193466,96,0,0,0,0,0,1807,97,3653,4603,663,0,0,8878
7,1624181090.561839819,1624181090.661713123,12,11,0,0.013076821,0.026333323,1,0,0,0,0,-0.005039462,-0.000208773,-0.004186735,-0.000008237,-0.000016790,0.000069003,0.999999997,2379,1876,0.788566625,0.015272844,0.003336410,0.002873996,0.154670550,98.560510590,1573,0.966595142,177.764145441,333.940614065,1008.749399243,0.116915163,0.113009628,0,0,0,0,1.000000000,0,0,0.003896597,0.000055119,0.003896597,0.000055119,0.100000000,0.030000000,0.891962259,0.015272844,0.000000000,0.000000661,0.000001849,0.000003692,-0.105219159,-0.994449037,0.000204719,0.000000001,0.000000002,0.000000008,-0.007028815,0.018739011,-0.999799703,0.000000000,0.162535111,0.017391101,0.018488785,0.000954704,87.287257910,0,0.130881373,0.125769528,409,400,9,0.171920975,89,0,0,0,0,0,1880,90,3762,5012,752,0,0,10758
8,1624181090.661837339,1624181090.761733294,13,12,0,0.012989325,0.025725314,1,0,0,0,0,-0.004075904,-0.003052859,-0.004201615,-0.000002844,-0.000032998,0.000052084,0.999999998,2377,1881,0.791333614,0.014400709,0.003445338,0.002925189,0.146721429,100.167686843,1579,0.966300305,178.299175220,330.090521350,1017.398484945,0.116857095,0.112919047,0,0,0,0,1.000000000,0,0,0.003403713,0.000064496,0.003403713,0.000064496,0.100000000,0.030000000,0.921543048,0.014400709,0.000000000,0.000000642,0.000001824,0.000003666,-0.090444719,-0.995896372,0.003188928,0.000000001,0.000000002,0.000000008,-0.003877396,0.017375758,-0.999841512,0.000000000,0.160558401,0.028363507,0.021491699,0.000988543,88.897311526,0,0.129128338,0.124163218,378,372,6,0.159023980,86,0,0,0,0,0,1911,88,3864,5390,838,0,0,12669
9,1624181090.761834860,1624181090.861717939,14,13,0,0.013352977,0.024980185,1,0,0,0,0,-0.005791315,-0.006222134,-0.004221205,0.000009617,-0.000010386,0.000042267,0.999999999,2364,1898,0.802876481,0.014677947,0.003365370,0.002862806,0.140930078,102.307323290,1579,0.970176900,170.663144175,332.221112211,1029.025068303,0.111405513,0.108083055,0,0,0,0,1.000000000,0,0,0.002367038,0.000053757,0.002367038,0.000053757,0.100000000,0.030000000,0.896475683,0.014677947,0.000000000,0.000000634,0.000001794,0.000003711,-0.082711368,-0.996563428,0.004490316,0.000000001,0.000000002,0.000000008,-0.003196741,0.012885952,-0.999911863,0.000000000,0.158377476,0.030125387,0.025095493,0.001008178,90.387312833,0,0.127159136,0.122376533,351,342,9,0.148477157,87,0,0,0,0,0,1925,88,3945,5741,925,0,0,14594
10,1624181090.861832380,1624181090.961721897,15,14,0,0.012873842,0.024093260,1,0,0,0,0,-0.006588194,-0.008398212,-0.004678077,-0.000020484,0.000009660,0.000187554,0.999999982,2351,1896,0.806465334,0.014302611,0.003245935,0.002747090,0.139738837,102.650382148,1595,0.971184489,168.795110885,332.673746023,1047.570403799,0.108967613,0.105827656,0,0,0,0,1.000000000,0,0,0.000569036,0.000306880,0.000569036,0.000306880,0.100000000,0.030000000,0.895120223,0.014302611,0.000000000,0.000000635,0.000001760,0.000003665,-0.075945703,-0.997106803,0.003205142,0.000000001,0.000000002,0.000000008,-0.005709866,0.009116131,-0.999942145,0.000000000,0.156513612,0.034499978,0.027457496,0.001298752,91.613619765,0,0.125339983,0.120721646,395,386,9,0.168013611,78,0,0,0,0,0,1878,78,4043,6136,1003,0,0,16472
