path,data_rows,runtime_schema_values,adaptive_map_values,first_lidar_end_time,last_lidar_end_time
experiments/adaptive_map_v1/validation/geode_tunnel5/fastlio2/run01/runtime.csv,2295,absent,absent,absent,absent
experiments/adaptive_map_v1/validation/geode_tunnel5/fastlio2_blind0p5/run01/runtime1.csv,2315,absent,absent,absent,absent
experiments/adaptive_map_v1/validation/geode_tunnel5/fastlio2_blind0p5/run01/runtime2.csv,2316,absent,absent,absent,absent
experiments/adaptive_map_v1/validation/geode_tunnel5/fastlio2_blind0p5/run01/runtime3.csv,2315,absent,absent,absent,absent
experiments/adaptive_map_v1/validation/geode_tunnel5/fastlio2_blind2/run01/runtime.csv,2316,absent,absent,absent,absent
experiments/adaptive_map_v1/validation/geode_tunnel5/fastlio2_blind2/run02/runtime1.csv,2316,absent,absent,absent,absent
experiments/adaptive_map_v1/validation/geode_tunnel5/fastlio2_blind2/run02/runtime2.csv,2316,absent,absent,absent,absent
experiments/adaptive_map_v1/validation/geode_tunnel5/fastlio2_blind2/run02/runtime3.csv,2316,absent,absent,absent,absent
experiments/adaptive_map_v1/validation/geode_tunnel5/off_path_alignment_v2/B/run01/runtime.csv,2316,map_diagnostics_v8,0,1706585906.272312403,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/off_path_alignment_v2/B/run02/runtime.csv,2316,map_diagnostics_v8,0,1706585906.272312403,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/off_path_alignment_v2/B/run03/runtime.csv,2316,map_diagnostics_v8,0,1706585906.272312403,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/ours_adaptive/run01/runtime.csv,2299,absent,1,1706585907.972906351,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/ours_adaptive_blind2/run01/runtime.csv,2299,absent,1,1706585907.972906351,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/ours_adaptive_blind2/run02/runtime1.csv,2299,absent,1,1706585907.972906351,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/ours_adaptive_blind2/run02/runtime2.csv,2299,absent,1,1706585907.972906351,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/ours_adaptive_blind2/run02/runtime3.csv,2299,absent,1,1706585907.972906351,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/ours_no_adaptive/run01/runtime.csv,2290,absent,0,1706585907.972906351,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/ours_no_adaptive_blind2/run01/runtime.csv,2299,absent,0,1706585907.972906351,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/ours_no_adaptive_blind2/run02/runtime1.csv,2299,absent,0,1706585907.972906351,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/ours_no_adaptive_blind2/run02/runtime2.csv,2299,absent,0,1706585907.972906351,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/ours_no_adaptive_blind2/run02/runtime3.csv,2299,absent,0,1706585907.972906351,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/ours_off/run01/runtime.csv,2316,absent,0,1706585906.272312403,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/ours_off/run02/runtime1.csv,2316,absent,0,1706585906.272312403,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/ours_off/run02/runtime2.csv,2315,absent,0,1706585906.272312403,1706586137.672270775
experiments/adaptive_map_v1/validation/geode_tunnel5/ours_off/run02/runtime3.csv,2316,absent,0,1706585906.272312403,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/ours_on/run01/runtime.csv,1670,absent,1,1706585906.272312403,1706586073.872561455
experiments/adaptive_map_v1/validation/geode_tunnel5/targeted_ablation_v1/C0/run01/runtime.csv,2316,map_diagnostics_v2,0,1706585906.272312403,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/targeted_ablation_v1/C1/run01/runtime.csv,1763,map_diagnostics_v2,1,1706585906.272312403,1706586082.472766876
experiments/adaptive_map_v1/validation/geode_tunnel5/targeted_ablation_v1/C1/run02/runtime.csv,2316,map_diagnostics_v2,1,1706585906.272312403,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/targeted_ablation_v1/C1/run03/runtime.csv,1683,map_diagnostics_v2,1,1706585906.272312403,1706586074.472385168
experiments/adaptive_map_v1/validation/geode_tunnel5/targeted_ablation_v1/C3/run01/runtime.csv,2316,map_diagnostics_v4,1,1706585906.272312403,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/targeted_ablation_v1/C3/run02/runtime.csv,2316,map_diagnostics_v4,1,1706585906.272312403,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/targeted_ablation_v1/C3/run03/runtime.csv,2315,map_diagnostics_v4,1,1706585906.272312403,1706586137.672270775
experiments/adaptive_map_v1/validation/geode_tunnel5/targeted_ablation_v1/T1/run01/runtime.csv,2316,map_diagnostics_v2,1,1706585906.272312403,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/targeted_ablation_v1/T1/run02/runtime.csv,2316,map_diagnostics_v2,1,1706585906.272312403,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/targeted_ablation_v1/T1/run03/runtime.csv,2316,map_diagnostics_v2,1,1706585906.272312403,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/targeted_ablation_v1/T1/run04/runtime.csv,2316,map_diagnostics_v2,1,1706585906.272312403,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/targeted_ablation_v1/T1/run05/runtime.csv,1581,map_diagnostics_v2,1,1706585906.272312403,1706586064.272756100
experiments/adaptive_map_v1/validation/geode_tunnel5/targeted_ablation_v1/T2/run01/runtime.csv,2316,map_diagnostics_v3,1,1706585906.272312403,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/targeted_ablation_v1/T2/run02/runtime.csv,2316,map_diagnostics_v3,1,1706585906.272312403,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/targeted_ablation_v1/T2/run03/runtime.csv,2316,map_diagnostics_v3,1,1706585906.272312403,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/targeted_ablation_v1/T2/run04/runtime.csv,2316,map_diagnostics_v3,1,1706585906.272312403,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/targeted_ablation_v1/T3/run01/runtime.csv,2316,map_diagnostics_v3,1,1706585906.272312403,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/targeted_ablation_v1/T3/run02/runtime.csv,1871,map_diagnostics_v3,1,1706585906.272312403,1706586093.272922039
experiments/adaptive_map_v1/validation/geode_tunnel5/targeted_ablation_v1/T3/run03/runtime.csv,2316,map_diagnostics_v3,1,1706585906.272312403,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/targeted_ablation_v1/T3/run04/runtime.csv,2316,map_diagnostics_v3,1,1706585906.272312403,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/transient_novel_ab/control/run01/runtime.csv,2299,absent,1,1706585907.972906351,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/transient_novel_ab/control/run02/runtime.csv,2299,absent,1,1706585907.972906351,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/transient_novel_ab/control/run03/runtime.csv,2299,absent,1,1706585907.972906351,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/transient_novel_ab/control_off/run01/runtime.csv,2299,absent,1,1706585907.972906351,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/transient_novel_ab/control_off/run02/runtime.csv,2299,absent,1,1706585907.972906351,1706586137.772913218
experiments/adaptive_map_v1/validation/geode_tunnel5/transient_novel_ab/control_off/run03/runtime.csv,2299,absent,1,1706585907.972906351,1706586137.772913218
experiments/adaptive_map_v1/validation/ntu_spms2/fastlio2/run01/runtime.csv,3403,absent,absent,absent,absent
experiments/adaptive_map_v1/validation/ntu_spms2/ours_adaptive/run01/runtime.csv,3494,absent,1,1624181089.861757040,1624181454.452959061
experiments/adaptive_map_v1/validation/ntu_spms2/ours_no_adaptive/run01/runtime.csv,3523,absent,0,1624181089.861757040,1624181454.452959061
experiments/adaptive_map_v1/validation/ntu_spms2/ours_off/run01/runtime.csv,3443,absent,0,1624181089.745963573,1624181454.435625553
experiments/adaptive_map_v1/validation/ntu_spms2/ours_on/run01/runtime.csv,3444,absent,1,1624181089.841932535,1624181454.435625553
experiments/adaptive_map_v1/validation/ntu_spms2/targeted_ablation_v1/C1/run01/runtime.csv,3613,map_diagnostics_v3,1,1624181089.745963573,1624181454.535616398
experiments/adaptive_map_v1/validation/ntu_spms2/targeted_ablation_v1/C1/run02/runtime.csv,3460,map_diagnostics_v3,1,1624181089.745963573,1624181454.435625553
experiments/adaptive_map_v1/validation/ntu_spms2/targeted_ablation_v1/C1/run03/runtime.csv,3430,map_diagnostics_v3,1,1624181089.745963573,1624181454.435625553
experiments/adaptive_map_v1/validation/ntu_spms2/targeted_ablation_v1/C2/run01/runtime.csv,3430,map_diagnostics_v3,1,1624181089.841932535,1624181454.335596800
experiments/adaptive_map_v1/validation/ntu_spms2/targeted_ablation_v1/C2/run02/runtime.csv,3452,map_diagnostics_v3,1,1624181089.841932535,1624181454.435625553
experiments/adaptive_map_v1/validation/ntu_spms2/targeted_ablation_v1/C2/run03/runtime.csv,3452,map_diagnostics_v3,1,1624181089.745963573,1624181454.435625553
experiments/adaptive_map_v1/validation/ntu_spms2/targeted_ablation_v1/C3/run01/runtime.csv,3509,map_diagnostics_v4,1,1624181089.745963573,1624181454.435625553
experiments/adaptive_map_v1/validation/ntu_spms2/targeted_ablation_v1/C3/run02/runtime.csv,3515,map_diagnostics_v4,1,1624181089.745963573,1624181454.435625553
experiments/adaptive_map_v1/validation/ntu_spms2/targeted_ablation_v1/C3/run03/runtime.csv,3505,map_diagnostics_v4,1,1624181089.841932535,1624181454.435625553
experiments/adaptive_map_v1/validation/ntu_spms2/targeted_ablation_v1/C4/run01/runtime.csv,3504,map_diagnostics_v4,1,1624181089.745963573,1624181454.535616398
experiments/adaptive_map_v1/validation/ntu_spms2/targeted_ablation_v1/C4/run02/runtime.csv,3489,map_diagnostics_v4,1,1624181089.745963573,1624181454.435625553
experiments/adaptive_map_v1/validation/ntu_spms2/targeted_ablation_v1/C4/run03/runtime.csv,3489,map_diagnostics_v4,1,1624181089.745963573,1624181454.535616398
experiments/adaptive_map_v1/validation/ntu_spms2/targeted_ablation_v1/C4/run04/runtime.csv,3505,map_diagnostics_v4,1,1624181089.745963573,1624181454.435625553
experiments/adaptive_map_v1/validation/ntu_spms2/targeted_ablation_v1/C4/run05/runtime.csv,3488,map_diagnostics_v4,1,1624181089.745963573,1624181454.435625553
experiments/adaptive_map_v1/validation/ntu_spms2/targeted_ablation_v1/C4/run06/runtime.csv,3499,map_diagnostics_v4,1,1624181089.745963573,1624181454.435625553
