group,run,start_s,end_s,rows,residual_median,effective_min,transient_fraction,map_added,rejection_fraction,novel_rejected
control,run01,0,340,3122,0.0704688785,278,0.07847533632286996,1198691.0,0.367386294128792,34964
control,run01,340,350,94,0.06473772550000001,480,0.1276595744680851,21417.0,0.5290690003957957,17
control,run01,350,360,90,0.0679896015,550,0.3111111111111111,20184.0,0.7824413904607922,4008
control,run01,360,370,85,0.068029191,780,0.2235294117647059,23608.0,0.6548033338207341,504
control,run01,370,390,158,0.057054583500000006,623,0.23417721518987342,32105.0,0.7466901263985104,4978
control,run01,390,420,251,0.053672869,376,0.00398406374501992,14594.0,0.16246771879483501,0
control,run02,0,340,3141,0.071250672,258,0.13276026743075453,1325467.0,0.47002031606048356,48123
control,run02,340,350,80,0.2669707435,351,1.0,12769.0,0.9427899370505611,25139
control,run02,350,360,82,0.2382993625,284,1.0,12625.0,0.9618340225882125,183686
control,run02,360,370,80,0.228222939,437,1.0,15236.0,0.9502229772775537,103607
control,run02,370,390,150,0.1856004335,586,0.7733333333333333,72125.0,0.8280322357597577,93914
control,run02,390,420,240,0.046682654500000004,721,0.008333333333333333,33438.0,0.3166574704187358,64
control,run03,0,340,3170,0.069810711,302,0.11987381703470032,1177154.0,0.4661551738759547,79610
control,run03,340,350,84,0.2713168385,429,1.0,12727.0,0.9504597083712856,64488
control,run03,350,360,86,0.241958069,318,1.0,14374.0,0.9596148605175838,191456
control,run03,360,370,76,0.24287956249999998,295,1.0,14075.0,0.9558227637530092,150088
control,run03,370,390,157,0.220778679,646,0.9426751592356688,40563.0,0.9294280370579792,207349
control,run03,390,420,242,0.0448241305,938,0.024793388429752067,32270.0,0.48606465997770343,355
control_off,run01,0,340,3161,0.066346752,301,0.07149636191078773,1154604.0,0.3545457797972299,0
control_off,run01,340,350,91,0.065879253,486,0.17582417582417584,21228.0,0.614575957296149,0
control_off,run01,350,360,91,0.067393813,562,0.32967032967032966,25825.0,0.7593488207393326,0
control_off,run01,360,370,72,0.20178738899999998,684,0.9166666666666666,50565.0,0.8025028414749892,0
control_off,run01,370,390,151,0.178074061,1032,0.7086092715231788,86299.0,0.7936679473906941,0
control_off,run01,390,420,239,0.043373523,637,0.10460251046025104,27832.0,0.6204658266513937,0
control_off,run02,0,340,3211,0.067551305,256,0.09778885082528807,1181601.0,0.4048120721901497,0
control_off,run02,340,350,90,0.16407918,446,0.6,65797.0,0.6565757264172116,0
control_off,run02,350,360,75,0.050760143,553,0.04,166325.0,0.1333041525322161,0
control_off,run02,360,370,65,0.209743017,1594,0.5230769230769231,81014.0,0.5804426859457053,0
control_off,run02,370,390,146,0.193735928,1539,0.8767123287671232,63502.0,0.8493006345786009,0
control_off,run02,390,420,237,0.047883143,834,0.008438818565400843,34582.0,0.3449013999128606,0
control_off,run03,0,340,3190,0.0666002845,285,0.08025078369905957,1154530.0,0.3711518434113459,0
control_off,run03,340,350,97,0.062416507,474,0.10309278350515463,21352.0,0.4827394074468858,0
control_off,run03,350,360,91,0.065919884,588,0.2967032967032967,21110.0,0.7620818681814083,0
control_off,run03,360,370,92,0.060775407000000004,848,0.11956521739130435,25716.0,0.5417349775465108,0
control_off,run03,370,390,163,0.17825022,754,0.7730061349693251,60495.0,0.8237961808670528,0
control_off,run03,390,420,243,0.05108412,803,0.00411522633744856,27366.0,0.268894766370121,0
